Time,Temperature,Humidity,Vbat
1705304790,18.83,65.07,2906
1705306587,18.78,65.27,2911
1705308393,18.79,65.75,2919
1705310194,18.76,65.99,2929
1705311995,18.71,66.43,2943
1705313796,18.3,57.05,2949
1705315597,20.4,54.53,2945
1705317398,21.02,55.73,2939
1705319199,20.93,56.2,2934
1705321001,21.09,56.74,2931
1705322802,20.37,56.61,2927
1705324603,19.58,57.16,2924
1705326404,18.98,57.61,2914
1705328205,18.6,57.83,2911
1705330006,18.5,57.83,2908
1705331807,18.33,57.74,2910
1705333609,18.13,57.68,2915
1705335410,18.03,57.65,2919
1705337206,16.58,49.89,2924
1705339012,18.94,47.24,2926
1705340813,20.89,48.45,2932
1705342609,20.8,50.45,2915
1705344415,20.64,51.63,2919
1705346216,20.6,52.57,2936
1705348018,20.67,53.26,2949
1705349613,22.12,51.32,2962
1705351414,23.04,51.77,2960
1705353215,22.8,53,2947
1705355017,22.54,53.62,2936
1705356818,22.32,54.25,2937
1705358619,22.62,54.22,2950
1705360420,21.21,45.89,2952
1705362221,20.56,43.55,2952
1705364022,21.46,43.78,2952
1705365823,22.01,46.53,2928
1705367624,21.68,49.1,2906
1705369425,21.15,51.23,2895
1705371227,20.65,52.26,2890
1705373028,20.45,53.47,2895
1705374829,20.43,54.3,2912
1705376630,20.35,55.34,2923
1705378431,20.41,56.26,2923
1705380232,20.33,56.39,2925
1705382033,20.17,56.95,2921
1705383834,20.16,58.87,2918
1705385630,20.25,59.83,2921
1705387437,20.1,49.13,2920
1705389233,22.11,47.92,2913
1705391039,22.64,47.94,2906
1705392840,22.35,47.45,2891
1705394641,21.92,48.51,2881
1705396442,21.32,49.83,2878
1705398243,20.97,51.12,2885
1705400044,20.75,51.68,2895
1705401846,20.57,52,2905
1705403642,20.48,52.6,2916
1705405448,20.46,52.95,2932
1705407249,20.88,52.12,2950
1705409050,20.85,53.06,2966
1705410851,20.97,52.22,2981
1705412652,21.24,53.63,2980
1705414454,21.2,54.92,2962
1705416255,21.17,54.68,2945
1705418056,21.21,53.99,2927
1705419852,21.43,53.44,2913
1705421658,22.5,53.01,2917
1705423459,22.61,52.99,2904
1705425260,22.43,52.86,2888
1705427061,22.21,51.14,2881
1705428863,21.94,51.99,2876
1705430664,21.75,53.66,2889
1705432465,21.26,51.43,2904
1705434266,21.21,47.88,2912
1705436067,22.45,50.49,2912
1705437863,22.58,51.66,2906
1705439669,22.35,52.43,2895
1705441470,22.1,53.11,2894
1705443272,22,53.91,2896
1705445068,21.84,54.77,2887
1705446874,21.95,53.47,2906
1705448675,22.01,53.06,2922
1705450476,21.66,53.29,2930
1705452277,21.28,55.79,2938
1705454078,20.78,57.18,2929
1705455879,20.34,58.47,2920
1705457681,19.99,60.08,2914
1705459482,19.85,61.11,2921
1705461283,19.8,62.83,2928
1705463084,19.69,64.06,2932
1705464885,19.6,64.34,2936
1705466686,19.57,64.77,2941
1705468487,19.51,65.13,2944
1705470289,19.48,65.69,2946
1705472090,19.41,65.72,2945
1705473891,19.53,62.48,2941
1705475687,19.84,60.99,2937
1705477493,19.97,61.19,2941
1705479294,19.72,61.26,2946
1705481095,19.48,61.02,2951
1705482897,19.22,61.33,2953
1705484698,19.06,61.44,2948
1705486494,19,61.52,2944
1705488300,18.32,53.04,2940
1705490096,18.79,54.22,2937
1705491902,19.82,51.14,2928
1705493703,20.77,52.23,2919
1705495504,21.04,54.31,2910
1705497306,20.93,55.32,2901
1705499107,20.94,55.23,2901
1705500903,21.32,55.12,2903
1705502704,21.57,53.77,2909
1705504510,21.37,52.69,2916
1705506306,21.49,53.62,2923
1705508112,21.52,54.83,2929
1705509908,21.33,54.57,2933
1705511714,21.47,55.88,2937
1705513516,21.58,56.56,2940
1705515317,21.82,56.99,2938
1705517118,22.07,57.18,2936
1705518919,22.09,58.31,2931
1705520720,22.11,58.8,2920
1705522521,22.43,58.52,2918
1705524322,22.31,59.39,2921
1705526123,22.31,60.13,2921
1705527924,22.28,60.35,2930
1705529726,20.83,53.69,2926
1705531527,20.09,52.03,2914
1705533328,20.03,50.82,2904
